"filename", "language", "JSON", "TypeScript", "JavaScript", "JSON with Comments", "Markdown", "SVG", "TypeScript React", "CSS", "HTML", "comment", "blank", "total"
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/About/Content/Components/StyleMobile.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 4, 38
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/About/Content/Components/StyleTablet.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 5, 43
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/About/Content/Paragraphs.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 14, 97
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/About/Content/PromiseParagraphs.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 3, 32
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/About/Content/StyleParagraphs.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 3, 32
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/About/Elevate/Elevate.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 7, 39
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/About/Hero/Hero.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 18, 0, 0, 2, 4, 24
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/About/Hero/ResponsiveBackground.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 33, 0, 0, 2, 9, 44
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/About/Values/Components/Data.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 8, 38
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/About/Values/Components/SquareContent.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/About/Values/Components/SquareTitle.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 9, 66
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/About/Values/Values.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 7, 59
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Ai/Ai.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Ai/components/Content.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 8, 29
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Ai/components/Graphic.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 7, 32
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Ai/components/Hero.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 5, 27
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Ai/components/Included.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 46, 0, 0, 2, 9, 57
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Ai/components/Voice.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 5, 33
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Ai/components/contentData.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Ai/components/slickSliderStyles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 21, 0, 6, 8, 35
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Breath/Breath.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Breath/assets/images/letter.svg", "SVG", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
